,AD,AE,AF,AG,AL,AM,AO,AR,AS,AT,AU,AW,AX,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BM,BN,BO,BR,BS,BT,BW,BY,BZ,CA,CD,CF,CG,CH,CI,CL,CM,CN,CO,CR,CU,CV,CW,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GM,GN,GP,GQ,GR,GT,GU,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IM,IN,IQ,IR,IS,IT,JE,JM,JO,JP,KE,KG,KH,KN,KP,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MG,MK,ML,MM,MN,MO,MP,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NC,NE,NG,NI,NL,NO,NP,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PR,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SI,SJ,SK,SL,SM,SN,SO,SR,SS,ST,SV,SX,SY,SZ,TD,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VA,VC,VE,VG,VI,VN,VU,WS,XK,YE,ZA,ZM,ZW
AD,1.0833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AE,0.0,1097.0306556723822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2466666666666666,15.001680672268911,0.0,0.0,0.0,0.25,0.0,0.5,2.6971491228070175,0.0,0.0,1.1071428571428572,0.0,0.0,0.0,0.0,0.0,3.664285714285714,0.0,0.0,0.0,0.0,0.0,41.55090187590189,0.0,0.0,0.0,2.0428571428571427,0.0,0.0,0.0,3.9861111111111116,0.0,0.0,0.0,0.0,0.0,0.0,2.0858395989974934,10.574328257965693,0.0,1.4,0.0,0.0,2.783333333333333,0.0,0.6666666666666666,15.27549019607843,0.0,2.2222222222222223,0.0,2.933333333333333,0.0,0.0,0.0,0.0,8.32076023391813,0.0,34.035839598997484,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,1.5714285714285714,0.0,0.9666666666666667,0.07692307692307693,2.130952380952381,0.0,0.0,13.639775910364145,2.3666666666666663,2.2295837633298934,0.0,2.9561868686868684,0.0,0.3333333333333333,7.844537815126049,2.6613354037267083,0.08333333333333333,0.0,0.0,0.0,0.0,1.6096491228070176,6.01123642439432,0.0,0.5,0.0,5.610014005602242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999999999998,2.317099567099567,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,2.0,0.0,0.0,0.0,1.0,0.0,3.7749055330634285,2.221553884711779,0.6666666666666666,0.0,5.166666666666666,6.37936507936508,0.0,0.0,0.3333333333333333,0.0,0.07142857142857142,2.4166666666666665,0.17774436090225565,0.1,0.2777777777777778,0.5263157894736842,0.0,0.0,4.460410830999066,0.0,0.3333333333333333,0.8928571428571428,0.5263157894736842,0.0,12.913188608776844,0.0,0.0,1.0,2.9706349206349207,3.766666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2.698917748917749,0.0,2.085139318885449,0.0,0.0,0.14285714285714285,1.0,0.25,66.43947977311723,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.25,0.25,0.0,0.0,0.0,0.1111111111111111,1.5596491228070175,0.0,0.0
AF,0.0,0.0,20.254304029304024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.9511904761904764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.7,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.679304029304029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG,0.0,0.0,0.0,11.576190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39285714285714285,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,0.0,0.0,0.0,0.0,174.109126984127,0.0,0.0,0.0,0.0,0.7857142857142857,0.45,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.2,0.0,0.0,0.0,4.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5833333333333335,0.0,0.5,0.0,0.0,0.0,0.0,1.5694444444444442,0.0,1.2357142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.04563492063492,0.0,0.0,0.0,4.792857142857143,0.0,0.0,0.1111111111111111,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,1.9642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5357142857142857,0.125,0.2,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,5.29047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
AM,0.0,0.0,0.0,0.0,0.0,539.7831708167913,0.0,0.0,0.0,4.261363636363636,1.237483670175978,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.36982968369829683,0.0,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333333,0.0,0.0,0.0,0.0,0.0,0.9795505598370833,0.0,0.0,0.0,2.312301587301587,0.0,0.5150422535211268,0.0,0.8492304327619672,3.716666666666667,0.0,0.0,0.0,0.0,0.5,0.023197955890263584,14.11528593684686,0.0,1.1666666666666665,0.0,0.0,0.25,0.0,0.125,0.6666666666666666,0.0,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,13.42920206679116,0.0,4.2280499130897065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.1759181619989938,0.0,0.7777777777777777,0.0,0.2959252286175363,0.2916666666666667,0.0,0.16666666666666666,0.6,4.999999999999999,0.0,7.561657651505139,0.0,0.0,1.0,4.1462306547621885,0.0,0.0,0.0,0.0,0.0,0.30670892018779344,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1714285714285713,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36982968369829683,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.5041387506996715,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.40476190476190477,0.0,10.293602095949582,0.0,0.0,0.0,0.0,0.0,0.916125541125541,0.0,0.029850746268656716,0.0,0.8095238095238094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,2.3309523809523807,0.0,0.6666666666666666,0.0,21.00368502480565,0.0,1.3166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08034081303312073,0.0,0.0
AO,0.0,0.0,0.0,0.0,0.0,0.0,44.50848595848595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.5,5.203907203907205,0.0,0.0,0.0,0.0,0.0,1.064102564102564,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.07692307692307693,0.0,0.3333333333333333,0.0,1.1666666666666665,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,1.453113553113553,0.0,0.37362637362637363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1031746031746033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
AR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10026.98800250419,0.0,10.015131124913731,25.438175410661785,0.0,0.0,0.0,0.0,0.0,0.0,18.711938061938056,0.06666666666666667,0.25,0.0,0.3333333333333333,0.0,0.0,0.0,4.617857142857144,181.26292367129545,0.0,0.0,0.0,0.0,0.0,50.47155624309496,0.11929824561403508,0.0,0.1,20.398148185588045,0.0,75.4725329137094,0.0,8.353760898697892,27.730598189759313,7.767826617826619,9.54469507101086,0.0,0.0,0.0,6.780075500947156,117.88561782049241,0.0,8.701719576719574,0.0,2.466666666666667,0.0,1.7548651265262583,0.5,0.4621212121212121,0.0,248.30663176592344,0.0,5.156498257839722,0.0,0.5,0.0,0.0,106.36538205195107,0.0,66.29650956163893,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0869927633342265,0.2346337872653662,0.0,0.0,0.0,0.4444444444444444,0.3125,0.3200877192982456,0.3125,4.245188145188146,3.0575757575757576,3.0329386228983393,2.9586691086691084,0.0,9.431835329812253,0.0,2.745970695970696,0.0,61.50194135399632,0.0,0.0,0.09090909090909091,15.24685213080265,0.5909090909090909,0.0,0.27485380116959063,0.0,0.0,2.226868999845921,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.6,0.2,0.25,0.0,3.4221611721611724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,53.97764852179607,0.38596491228070173,0.037037037037037035,0.0,0.0,0.8095238095238095,0.25,9.004070537558293,5.370050125313284,0.0,0.0,7.579761904761906,0.7428571428571428,1.508333333333333,14.555795593295594,0.0,0.0,0.037037037037037035,1.0288220551378444,3.4647005139110405,6.55,0.0,17.75678239716939,0.0,4.147619047619047,0.0,0.21052631578947367,1.2285714285714284,0.8611111111111112,6.490110436771569,0.0,1.2767857142857144,0.0,0.0,0.0,12.284357485316848,0.5526315789473685,3.140325814536341,0.0,2.1390379403794038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.3621553884711779,0.0,0.0,0.0,0.3958333333333333,0.0,1.6228896103896104,0.09090909090909091,10.353846171364104,0.06666666666666667,1.629040404040404,0.6798941798941798,344.5776917364909,32.83829365079366,0.0,0.0,0.0,16.64716810966811,0.0,0.0,0.5526315789473684,0.0,0.0,0.0,0.0,9.755922318422316,0.11929824561403508,0.0
AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,0.0,1.6233333333333333,0.0,0.0,0.6428571428571428,3.422348484848485,0.0,11.74868875086266,0.0,12331.75577793032,79.65493974753255,0.0,0.0,0.9737484737484736,2.7964285714285717,0.0,0.4242424242424242,68.61394560423291,0.6435897435897435,9.4988455988456,0.0,0.6666666666666666,0.4583333333333333,0.0,0.0,0.25,23.41775782696836,0.0,0.0,0.1111111111111111,0.3333333333333333,0.4444444444444444,90.3769505613625,0.0,0.0,0.0,212.56438203297228,0.0,4.964880952380953,1.0,64.99134894006434,5.519742063492064,1.5588235294117647,0.75,0.0,0.8333333333333334,3.4575757575757575,73.21288752064818,988.691411424477,0.0,42.330203532753316,0.0,0.0,0.05263157894736842,0.825,4.94114712516325,13.08557831057831,0.0,126.88877504644763,2.3075757575757576,43.90922979361781,0.0,0.0,0.0,0.0,191.36583591643085,0.16666666666666666,294.3875361837876,0.0,0.9166666666666666,0.0,0.125,0.0,0.0,0.0,0.0,0.06578947368421052,0.0,24.78033166269817,0.0,0.0,0.0,0.0,3.5249999999999995,0.0,22.2666314965228,0.0,64.13593599903808,3.4521520146520146,21.87870806571787,26.475995801584027,0.0,26.649873869813057,0.0,9.37142857142857,2.458950617283951,184.72231962113005,0.85,0.0,1.1954545454545453,60.045670147355416,1.4999999999999998,0.0,0.08333333333333333,0.0,0.0,104.10214296084766,0.0,0.0,1.3333333333333333,0.0,0.38596491228070173,0.0,6.57142857142857,2.7261904761904763,0.0,0.0,1.7722222222222221,2.994047619047619,0.6534090909090909,0.0,3.1724598930481283,0.14285714285714285,0.2857142857142857,1.5,0.3333333333333333,1.875,0.0,0.0,3.079678362573099,0.0,0.0,0.0,0.0,0.0,0.0,0.6714285714285714,0.0,0.0,12.408045525902667,2.7416666666666667,0.03333333333333333,0.0,0.0,1.069047619047619,0.0,105.43368459787558,36.65780489295806,1.6666666666666665,0.0,23.30032087795246,0.0,0.5833333333333333,0.16666666666666666,0.0,0.6,0.5,17.97864145658263,46.63127312950001,0.005555555555555556,0.0,21.547039314975958,0.0,0.0,2.083333333333333,0.5657894736842105,17.855268842705446,17.508234126984128,46.89528166635461,0.0,8.323080428343584,0.0,0.0,0.0,81.20811753122355,8.761070946597261,34.231816337910395,0.0,42.905053280053274,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,13.995488721804513,0.3333333333333333,0.0,0.0,1.119047619047619,0.0,18.128959478959477,0.0,5.5207561018501705,2.75406162464986,15.232777777777779,2.3000000000000003,550.3571616389787,1.4333333333333333,0.75,0.0,0.0,1.18125,0.0,0.0,4.844444444444444,0.0,0.0,2.6999999999999997,0.2,10.929408554606237,0.8,0.0
AU,0.0,17.55406162464986,0.5,0.0,0.95,0.4160550987474064,0.0,19.305184648315322,0.0,78.96009190248412,49588.48427561455,0.0,0.0,0.0,0.7884615384615384,3.568376068376068,26.67848725348725,93.0210987492101,0.5012531328320802,8.822900199215988,1.4583333333333333,1.1,2.3015873015873014,0.0,5.291666666666666,0.75,103.37672569994297,0.0,3.1666666666666665,3.310714285714286,0.25,0.0,562.2723738726652,0.2,0.0,0.44285714285714284,206.4382245302102,0.07692307692307693,33.02454632666118,5.092063492063492,949.4677408608669,9.143366623629781,1.4666666666666666,1.7535714285714286,0.0,0.0,6.552464202464202,32.12397950562127,560.1897129237416,0.0,123.49830347603164,0.0,0.3333333333333333,1.551190476190476,0.7456709956709957,6.270862951977502,8.194715007215008,0.0,163.73659643319436,1.8916666666666666,73.91810715498498,13.154428904428903,0.0,0.6666666666666666,0.0,408.75111617378803,0.0,1534.9122765371878,0.0,1.65,0.09090909090909091,1.407166907166907,0.0,0.038461538461538464,2.2181818181818183,0.0,0.19736842105263158,0.0,32.298293534903465,0.0,1.3333333333333333,0.0,0.0,145.9996977291715,0.0,10.880950102529052,0.0,18.688389396553745,55.86860448919273,80.29225030869291,53.96144831098508,0.0,179.98560582755863,7.033333333333333,104.45850340136057,6.3819400569400555,225.8027001805633,0.0,1.4871794871794872,9.27348484848485,357.6445396476196,6.542195767195768,0.0,4.258730158730159,0.6666666666666666,0.0,140.43228777434695,11.45595238095238,0.0,0.25,1.5285714285714287,2.716374269005848,0.0,3.066666666666667,24.521031746031746,0.0,0.3333333333333333,1.1066849816849818,4.478113553113553,5.859274193548387,1.6666666666666665,3.9305555555555554,0.0,0.85,0.0,0.6,21.496428571428567,1.2809523809523808,0.8,2.2483063719905827,4.026190476190477,0.0,0.0,0.26666666666666666,0.0,3.873809523809524,1.823232323232323,0.8333333333333334,3.8992424242424244,34.238743966434875,142.9233613608614,2.274074074074074,3.8067460317460315,0.3492063492063492,3.477694235588972,0.0,251.52887778004742,84.73626823310937,5.555357142857142,0.0,433.63181450537775,7.019444444444444,4.101904761904762,2.25008325008325,0.9047619047619047,11.691774891774893,19.089061864061865,22.469909665497898,48.41589213302932,2.6531746031746035,0.0,31.552109781373332,0.20202020202020202,0.08333333333333333,12.32685379136992,1.1140350877192982,5.725428617667375,6.8,70.6564418934653,0.5,26.035153635303566,0.0,0.0,2.5624999999999996,180.1396084451151,207.1940060144504,20.27394570191949,0.0,11.379156954156953,0.125,0.0,1.188034188034188,0.0,0.0,1.2,0.0,0.14285714285714285,0.0,1.5,0.0,0.0,0.0,91.87750790082029,1.5555555555555554,0.6666666666666666,0.0,3.4805555555555556,2.123809523809524,30.0688981769864,1.6904761904761905,100.70501806636227,2.303703703703704,5.289922480620156,3.2570827320827322,2454.9440177373067,1.4151515151515153,1.4166666666666665,0.6666666666666666,0.0,3.323412698412698,5.208333333333333,0.6666666666666666,31.986441798941804,3.0055555555555555,0.6666666666666666,0.0,0.5,91.36058310389082,0.9242424242424242,2.259199134199134
AW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
